id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	associatedOccurrences	associatedReferences	otherCatalogNumbers	occurrenceRemarks	organismID	materialSampleID	eventID	fieldNumber	eventDate	eventTime	year	month	verbatimEventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
12	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	12					1	individuals			present										2006-04-19 23:04:00															7.7285	98.7376	100	0.0009	POINT (98.73760 7.72850)							urn:lsid:marinespecies.org:taxname:220032		Stegostoma fasciatum	Animalia	Chordata		Stegostomatidae	Stegostoma				species		
120	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	120					1	individuals			present										2013-08-24 23:08:00															1.37417	-91.8219	100	0.0009	POINT (-91.82194 1.37417)							urn:lsid:marinespecies.org:taxname:105789		Carcharhinus falciformis	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
122	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	122					1	individuals			present										2015-03-29 00:03:00									New Caledonia						-20.5621	164.26199	100	0.0009	POINT (164.26190 -20.56210)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
123	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	123					1	individuals			present										2015-03-22 00:03:00									New Caledonia						-21.6	165.39999	100	0.0009	POINT (165.40000 -21.60000)							urn:lsid:marinespecies.org:taxname:105721		Negaprion	Animalia	Chordata		Carcharhinidae	Negaprion				genus		
124	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	124					1	individuals			present										2015-01-25 00:01:00									New Caledonia						-22.2012	166.44299	100	0.0009	POINT (166.44329 -22.20119)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
125	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	125					1	individuals			present										2015-01-25 00:01:00									New Caledonia						-22.2972	166.29401	100	0.0009	POINT (166.29353 -22.29721)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
127	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	127					1	individuals			present										2015-04-06 23:04:00									Australia	Western Australia					-21.8052	114.116	100	0.0009	POINT (114.11575 -21.80520)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
128	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	128					1	individuals			present										2015-04-06 23:04:00									Australia	Western Australia					-21.8055	114.116	100	0.0009	POINT (114.11568 -21.80552)							urn:lsid:marinespecies.org:taxname:220030		Nebrius ferrugineus	Animalia	Chordata		Ginglymostomatidae	Nebrius				species		
129	2019-01-02T15:18:32			SharkBase	SharkBase	HumanObservation	129					1	individuals			present										2015-03-03 00:03:00									Australia	New South Wales					-28.6118	153.62801	100	0.0009	POINT (153.62828 -28.61180)							urn:lsid:marinespecies.org:taxname:220032		Stegostoma fasciatum	Animalia	Chordata		Stegostomatidae	Stegostoma				species		
13	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	13					1	individuals			present										2014-12-10 00:12:00															24.487	-77.7082	100	0.0009	POINT (-77.70823 24.48705)							urn:lsid:marinespecies.org:taxname:105719		Carcharhinus	Animalia	Chordata		Carcharhinidae	Carcharhinus				genus		
131	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	131					1	individuals			present										2014-04-16 23:04:00									Australia	Western Australia					-23.1413	113.768	100	0.0009	POINT (113.76823 -23.14130)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
133	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	133					1	individuals			present										2002-01-03 00:01:00															-35.3525	150.563	100	0.0009	POINT (150.56325 -35.35250)							urn:lsid:marinespecies.org:taxname:105838		Carcharodon carcharias	Animalia	Chordata		Lamnidae	Carcharodon				Species		
134	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	134					1	individuals			present										2011-12-09 00:12:00									Australia	New South Wales					-35.8587	150.18201	100	0.0009	POINT (150.18249 -35.85872)							urn:lsid:marinespecies.org:taxname:281931		Orectolobus maculatus	Animalia	Chordata		Orectolobidae	Orectolobus				species		
135	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	135					1	individuals			present										2012-03-09 00:03:00									Australia	New South Wales					-35.8597	150.18201	100	0.0009	POINT (150.18240 -35.85970)							urn:lsid:marinespecies.org:taxname:217341		Carcharhinus brachyurus	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
136	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	136					1	individuals			present										2010-02-06 00:02:00									Australia	New South Wales					-35.855	150.187	100	0.0009	POINT (150.18729 -35.85497)							urn:lsid:marinespecies.org:taxname:276695		Heterodontus galeatus	Animalia	Chordata		Heterodontidae	Heterodontus				species		
137	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	137					1	individuals			present										2010-02-06 00:02:00									Australia	New South Wales					-35.855	150.187	100	0.0009	POINT (150.18729 -35.85497)							urn:lsid:marinespecies.org:taxname:276695		Heterodontus galeatus	Animalia	Chordata		Heterodontidae	Heterodontus				species		
138	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	138					1	individuals			present										2013-02-11 00:02:00									Australia	South Australia					-35.3286	136.121	100	0.0009	POINT (136.12131 -35.32864)							urn:lsid:marinespecies.org:taxname:105838		Carcharodon carcharias	Animalia	Chordata		Lamnidae	Carcharodon				Species		
139	2019-01-02T15:18:33			SharkBase	SharkBase	HumanObservation	139					1	individuals			present										2014-01-09 00:01:00									Australia	Queensland					-23.442	151.91	100	0.0009	POINT (151.91012 -23.44198)							urn:lsid:marinespecies.org:taxname:105795		Carcharhinus melanopterus	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
140	2019-01-02T15:18:34			SharkBase	SharkBase	HumanObservation	140					1	individuals			present										2014-01-09 00:01:00									Australia	Queensland					-23.4428	151.909	100	0.0009	POINT (151.90877 -23.44279)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
141	2019-01-02T15:18:34			SharkBase	SharkBase	HumanObservation	141					1	individuals			present										2014-08-31 23:08:00									Australia	Queensland					-23.4438	151.91299	100	0.0009	POINT (151.91280 -23.44379)							urn:lsid:marinespecies.org:taxname:217356		Negaprion acutidens	Animalia	Chordata		Carcharhinidae	Negaprion				Species		
142	2019-01-02T15:18:34			SharkBase	SharkBase	HumanObservation	142					1	individuals			present										2014-05-07 23:05:00									Maldives						3.59361	72.8829	100	0.0009	POINT (72.88293 3.59361)							urn:lsid:marinespecies.org:taxname:105795		Carcharhinus melanopterus	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
509	2019-01-02T15:19:06			SharkBase	SharkBase	HumanObservation	509					1	individuals			present										2015-05-12 23:05:00															-18.4366	178.12801	100	0.0009	POINT (178.12815 -18.43658)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
510	2019-01-02T15:19:06			SharkBase	SharkBase	HumanObservation	510					1	individuals			present										2015-05-12 23:05:00															-18.3784	177.985	100	0.0009	POINT (177.98532 -18.37839)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
